movie_id,title,genre,description
1,Inception,Sci-Fi Action Thriller,A skilled thief enters human subconscious dreams to steal corporate secrets and is given a mission to plant an idea into a mind through psychological simulation.
2,The Matrix,Sci-Fi Action Thriller,A computer hacker discovers that human reality is an artificial subconscious simulation created by machines and joins a rebellion to free the human mind.
3,Interstellar,Sci-Fi Adventure Drama,A team of astronauts travels through a wormhole in deep outer space on an epic mission to find a new habitable planet and ensure humanity survival.
4,The Dark Knight,Action Crime Drama,Batman faces the Joker a psychopathic criminal mastermind who creates anarchy and terror in Gotham City.
5,Batman Begins,Action Crime Drama,Bruce Wayne trains with martial artists in shadows to fight corruption and organized crime in Gotham City as Batman.
6,The Avengers,Action Sci-Fi Adventure,Earth mightiest superheroes including Iron Man and Captain America team up to battle alien invaders and protect the world from destruction.
7,Iron Man,Action Sci-Fi Adventure,A billionaire genius inventor and superhero builds a high-tech powered armor suit to fight terrorists and high-tech corporate enemies.
8,Titanic,Romance Drama History,A young poor artist and an aristocratic woman fall deeply in love aboard the luxurious doomed passenger ship Titanic across social differences.
9,The Notebook,Romance Drama,A passionate young man and a wealthy young woman fall deeply in love but are separated by social differences and time across decades.
10,La La Land,Romance Drama Music,An aspiring actress and a jazz pianist fall deeply in love while pursuing their artistic passions and careers in Los Angeles.
11,The Lion King,Animation Adventure Drama,A young lion prince flees his kingdom after his father is killed and embarks on a journey with friends to reclaim his royal home.
12,Finding Nemo,Animation Adventure Comedy,A timid clownfish father embarks on an epic ocean journey with a forgetful friend to rescue his captured young son.
13,Toy Story,Animation Comedy Family,A cowboy doll feels jealous and threatened when a fancy new spaceman action figure becomes a young boy favorite toy leading to an adventure.
14,The Godfather,Crime Drama,The aging patriarch of an organized crime dynasty transfers control of his clandestine mafia family empire to his reluctant youngest son.
15,Pulp Fiction,Crime Drama Thriller,The interconnected lives of two mob hitmen a boxer a gangster and a crime boss unfold in quirky violent stories in Los Angeles.
16,The Lord of the Rings,Fantasy Adventure Action,A courageous young Hobbit and companions embark on an epic quest across Middle-earth to destroy a powerful dark ring and defeat the Dark Lord.
